,domain,id,id_str,party,screen_name,state
0,1.0,784325894559059968,784325894559059968,To Be Added,Sanjay_Meshack,To Be Added
1,1.0,741171197342187521,741171197342187520,BJP,BJP4AnN,Andaman and Nicobar Islands
2,1.0,1283244990274002949,1283244990274002944,INC,NSubramanian1,To Be Added
3,1.0,935363557050298368,935363557050298368,INC,SatishYepuri,Andhra Pradesh
4,1.0,112384119,112384119,BJP,praveenkubjp,Bihar
5,1.0,861956204255485952,861956204255485952,INC,Azamlebbai1,Maharashtra
6,1.0,1048908483977011200,1048908483977011200,To Be Added,adil_shaikh007,Maharashtra
7,1.0,3221097224,3221097224,To Be Added,MLA_VijayKale,Maharashtra
8,1.0,749538068500209664,749538068500209664,INC,hanfi_rahil,Maharashtra
9,1.0,3296150520,3296150520,BJP,MumbaiYash,Maharashtra
10,1.0,757152185931161601,757152185931161600,BJP,Nitinkalebjp,Maharashtra
11,1.0,3281983514,3281983514,BJP,rajmatasantha2,Maharashtra
12,1.0,1479755262,1479755262,BJP,babunair6,Maharashtra
13,1.0,3307332774,3307332774,INC,VartakKuldeep,Maharashtra
14,1.0,2425738308,2425738308,BJP,PwwareWare,Maharashtra
15,1.0,960165177839644672,960165177839644672,BJP,Randhir62157439,Bihar
16,1.0,738373454605504512,738373454605504512,BJP,sarthkkawde,Maharashtra
17,1.0,2800107031,2800107031,INC,INCJafrabad,Maharashtra
18,1.0,919592597546459136,919592597546459136,INC,ShivsahayRana,Maharashtra
19,1.0,959761940548526083,959761940548526080,To Be Added,Ansar17156540,Maharashtra
20,1.0,959706316561301504,959706316561301504,INC,SameerAkhtarAns,Maharashtra
21,1.0,984329248017141760,984329248017141760,BJP,HarikeshJaswl14,Maharashtra
22,1.0,927800214970396672,927800214970396672,BJP,BhavikP69143098,Maharashtra
23,1.0,391966635,391966635,BJP,nlshmishra5,Maharashtra
24,1.0,3152263550,3152263550,To Be Added,sunilrsfi,To Be Added
25,1.0,4143781214,4143781214,INC,tezaslam,To Be Added
26,1.0,1011600447801618432,1011600447801618432,BJP,AjayKum29378263,Bihar
27,1.0,3277243807,3277243807,INC,BaldevKhosa1944,Maharashtra
28,1.0,3135314882,3135314882,INC,MakwanaZameer,Maharashtra
29,1.0,75217559,75217559,BJP,deepakpohekar,Maharashtra
30,1.0,1056224600906842113,1056224600906842112,BJP,BakaneRajesh,Maharashtra
31,1.0,297293734,297293734,INC,umakantdhande,Maharashtra
32,1.0,805356082193256448,805356082193256448,BJP,maheshu7011,Maharashtra
33,1.0,3098089717,3098089717,INC,SaleemSayed_INC,Maharashtra
34,1.0,750973568373166081,750973568373166080,NCP,vijaytupe10,Maharashtra
35,1.0,4535269933,4535269933,BJP,DrSanjayWSharma,Maharashtra
36,1.0,1016496625831665664,1016496625831665664,BJP,TKamthe9,Maharashtra
37,1.0,893500266938376192,893500266938376192,BJP,Kamlesh51370148,Bihar
38,1.0,1046090403471085568,1046090403471085568,INC,MohsinK95787166,Maharashtra
39,1.0,824581973708529664,824581973708529664,INC,ansariowais103,Maharashtra
40,1.0,865937704000868353,865937704000868352,INC,Nikhil_f0808,Maharashtra
41,1.0,2515863378,2515863378,INC,parag555Patil,Maharashtra
42,1.0,857509692062519296,857509692062519296,BJP,Aditya_singhR,Maharashtra
43,1.0,815159182454296579,815159182454296576,BJP,ShreeDeshmukh01,Maharashtra
44,1.0,2537024917,2537024917,BJP,ganeshhhedda,Maharashtra
45,1.0,2311661977,2311661977,CPIM,sfisolapur,Maharashtra
46,1.0,1013415100361818112,1013415100361818112,CPIM,CpimPune,To Be Added
47,1.0,937385467644743680,937385467644743680,BJP,Siddktweets,Maharashtra
48,1.0,1026865811590397952,1026865811590397952,BJP,VijayKu35103683,Bihar
49,1.0,878229149256646656,878229149256646656,INC,gauri_ashraf,Maharashtra
50,1.0,830267068062720000,830267068062720000,BJP,Shailesh_BJYM,Maharashtra
51,1.0,323085553,323085553,BJP,bulletking8931,Maharashtra
52,1.0,298067302,298067302,BJP,AbhiSamantBJP,Maharashtra
53,1.0,992947582434357248,992947582434357248,INC,TGurjjar,Maharashtra
54,1.0,773811386854105088,773811386854105088,BJP,SaurabhTete,Maharashtra
55,1.0,1014078341819691008,1014078341819691008,BJP,SameerD57044351,Maharashtra
56,1.0,919872327151579137,919872327151579136,INC,UdayjyotiM,Maharashtra
57,1.0,955255829204123648,955255829204123648,INC,RohiniPandit2,Maharashtra
58,1.0,1409182100,1409182100,INC,harshkottawar,Maharashtra
59,1.0,3573125965,3573125965,BJP,umeshku67873908,Bihar
60,1.0,847467573373419521,847467573373419520,BJP,AshuFighter111,Maharashtra
61,1.0,947016857768169472,947016857768169472,BJP,wasimkh47913671,Maharashtra
62,1.0,992588114,992588114,BJP,sachinsehgal43,Maharashtra
63,1.0,1019866354139254784,1019866354139254784,BJP,ChetanVRTarale,Maharashtra
64,1.0,706401900133027841,706401900133027840,INC,amirz_khan,Maharashtra
65,1.0,1083761005660786688,1083761005660786688,INC,Sharan04431821,Maharashtra
66,1.0,1033264418149281792,1033264418149281792,NCP,mla_ncp,Maharashtra
67,1.0,276655457,276655457,BJP,MishraGRAdv,Maharashtra
68,1.0,923297305150734336,923297305150734336,INC,d_congress,Maharashtra
69,1.0,2837872334,2837872334,INC,mpccc,Maharashtra
70,1.0,893639584956858369,893639584956858368,BJP,Rahulkrsarraf1,Bihar
71,1.0,932631378515992578,932631378515992576,INC,bhushanranbhar2,Maharashtra
72,1.0,1046375799799128064,1046375799799128064,INC,digvijay_IYC,Maharashtra
73,1.0,890631549355515906,890631549355515904,INC,nilesh_khorgade,Maharashtra
74,1.0,163088164,163088164,BJP,tejraj4u,Maharashtra
75,1.0,777880325007433729,777880325007433728,BJP,JitendraSJain2,Maharashtra
76,1.0,297008578,297008578,INC,luckysaini2912,Maharashtra
77,1.0,987250658418999296,987250658418999296,INC,RoshnaShah1,Maharashtra
78,1.0,1075236507315691520,1075236507315691520,To Be Added,MalluGanachari,Maharashtra
79,1.0,832734155230244865,832734155230244864,INC,MLA_Amarkale,Maharashtra
80,1.0,844237522570006529,844237522570006528,BJP,AgreRohan,Maharashtra
81,1.0,913463172077461504,913463172077461504,BJP,RahulJa66662755,Bihar
82,1.0,769753115465752576,769753115465752576,INC,tripath_vijay,Maharashtra
83,1.0,949867432981643264,949867432981643264,INC,SanjayS27300241,Maharashtra
84,1.0,892719440692994048,892719440692994048,INC,umerlakdawala21,Maharashtra
85,1.0,887530787851059200,887530787851059200,BJP,SKalambarkar,Maharashtra
86,1.0,1068909776900374530,1068909776900374528,BJP,BShivadi,Maharashtra
87,1.0,1039570481249021952,1039570481249021952,BJP,PagdhareRekha,Maharashtra
88,1.0,3279881749,3279881749,INC,Inderp9999,Maharashtra
89,1.0,3274682665,3274682665,INC,iamsinghgovind,Maharashtra
90,1.0,2529444799,2529444799,INC,mlasubhashdhote,Maharashtra
91,1.0,894230522544529408,894230522544529408,BJP,AjayUpa21028321,Maharashtra
92,1.0,838729821341483008,838729821341483008,BJP,meharhussain660,Bihar
93,1.0,2232741102,2232741102,BJP,tmreddy123,Maharashtra
94,1.0,794439062073458688,794439062073458688,To Be Added,karanSinghiyc,Maharashtra
95,1.0,251592647,251592647,INC,Azam_khan111,Maharashtra
96,1.0,452875609,452875609,INC,PRINCEJRSHUKLA,Maharashtra
97,1.0,940400436732989440,940400436732989440,BJP,ManojRa23038478,Maharashtra
98,1.0,934267131780370438,934267131780370432,BJP,Sandeep88317165,Maharashtra
99,1.0,1004044726750928896,1004044726750928896,BJP,Sushil2321985,Maharashtra
100,1.0,915470686725988353,915470686725988352,INC,TrusharPadweka1,Maharashtra
101,1.0,1056557423278936064,1056557423278936064,INC,Prasenjeetwagh1,Maharashtra
102,1.0,2893677410,2893677410,INC,atiksahibole31,Maharashtra
103,1.0,1060105272113483776,1060105272113483776,BJP,RajeshP92260379,Bihar
104,1.0,1050343422689570816,1050343422689570816,INC,aniket_arkade,Maharashtra
105,1.0,1005449774571536386,1005449774571536384,NCP,KhopoliNcp,Maharashtra
106,1.0,954107063562637313,954107063562637312,AIMIM,saeed_india,Maharashtra
107,1.0,951131395685937152,951131395685937152,INC,svinoth_tnpyc,Maharashtra
108,1.0,983299343846277120,983299343846277120,INC,DrAslamKhan7,Maharashtra
109,1.0,2805416119,2805416119,MNS,Shalinitai,Maharashtra
110,1.0,1036163234460389376,1036163234460389376,INC,IncRamzan,Maharashtra
111,1.0,1155777830,1155777830,INC,incyuvraj,Maharashtra
112,1.0,837944852629291008,837944852629291008,INC,Navedsheikhshe2,Maharashtra
113,1.0,757863898011803648,757863898011803648,INC,Sayedayub1,Maharashtra
114,1.0,1010794483330396160,1010794483330396160,INC,PanabakaL,Andhra Pradesh
115,1.0,850022719420747776,850022719420747776,BJP,NiteshSeth02,Bihar
116,1.0,2375487796,2375487796,INC,PradeepChaube15,Maharashtra
117,1.0,874539701448867840,874539701448867840,NCP,navnath_devkate,Maharashtra
118,1.0,978313071386071040,978313071386071040,NCP,AbhaySangale,Maharashtra
119,1.0,388173166,388173166,AAP,AapVimal,Maharashtra
120,1.0,803659244813819904,803659244813819904,BJP,PandeSavita,Maharashtra
121,1.0,1282693992,1282693992,BJP,Shubhamchikhal1,Maharashtra
122,1.0,766163345024090113,766163345024090112,BJP,jaykumarfulwani,Maharashtra
123,1.0,951042471408144384,951042471408144384,BJP,GaneshS32985200,Maharashtra
124,1.0,1018765491328995329,1018765491328995328,BJP,Pradeep69227425,Maharashtra
125,1.0,1214947855535788033,1214947855535788032,INC,SunilKedar1111,Maharashtra
126,1.0,937116149065555968,937116149065555968,BJP,Alokkum46774528,Bihar
127,1.0,2791036978,2791036978,INC,NavnathTirmale,Maharashtra
128,1.0,703527403549687808,703527403549687808,INC,AshokPa36447329,Maharashtra
129,1.0,940038137673166848,940038137673166848,INC,SangliCongress,Maharashtra
130,1.0,909817425042034688,909817425042034688,INC,MRafiqshk,Maharashtra
131,1.0,972469093096976384,972469093096976384,INC,ParveenFaroogui,Maharashtra
132,1.0,3273790200,3273790200,INC,imshashankchamp,Maharashtra
133,1.0,372714634,372714634,INC,RAMTEKEabhijit,Maharashtra
134,1.0,973112236926488576,973112236926488576,INC,DccPimpri,Maharashtra
135,1.0,998103417095643136,998103417095643136,INC,DeepakShelatka2,Maharashtra
136,1.0,830075814322528257,830075814322528256,To Be Added,patel_farooque,Maharashtra
137,1.0,1048235603140038656,1048235603140038656,BJP,HIRENKHALASI2,Bihar
138,1.0,764763224491323392,764763224491323392,INC,EastPyc,Maharashtra
139,1.0,873444711037587456,873444711037587456,INC,khopade_bhushan,Maharashtra
140,1.0,2826749659,2826749659,INC,saurabhc0,Maharashtra
141,1.0,2266939358,2266939358,INC,kapilnagvekar,Maharashtra
142,1.0,1082622641356374016,1082622641356374016,INC,sachinde1979,Maharashtra
143,1.0,345294996,345294996,AIMIM,shakil_dsp,Maharashtra
144,1.0,756465701532073984,756465701532073984,BJP,chitlange1,Maharashtra
145,1.0,989382078876790785,989382078876790784,BJP,HajariRamBishn1,Maharashtra
146,1.0,748623090,748623090,BJP,RoshanpKatekhay,Maharashtra
147,1.0,888979990800478208,888979990800478208,BJP,SIndapwar,Maharashtra
148,1.0,1075059435964313601,1075059435964313600,BJP,rajujhabjp,Bihar
149,1.0,744892505309777920,744892505309777920,BJP,jituyb179,Maharashtra
