,id,id_str,screen_name,confirmed_account_type,state,twitter_name,real_name,bioguide,office_holder,party,district,level,woman,birthday,last_updated
0,986781648,986781648,jeffsessions,1,Alabama,Jeff Sessions,,,,,,,,,2021-04-20
1,93351287,93351287,devinpandy,1,Georgia,DDP (he/him/el),,,,,,,,,2021-04-20
2,771105905538535424,771105905538535424,chrisbishre,1,California,Chris Bish,,,,,,,,,2021-04-20
3,914815520842616834,914815520842616834,nancymace,1,South Carolina,Nancy Mace,,,,,,,,,2021-04-20
4,1081292958048153601,1081292958048153601,funk4congress,1,Illinois,Joel Funk for Southern Illinois,,,,,,,,,2021-04-20
5,22054391,22054391,joshpade,1,Wisconsin,Josh Randazza- Pade,,,,,,,,,2021-04-20
6,1159481372270039041,1159481372270039041,lacyforcongress,1,Texas,,,,,,,,,,2021-04-20
7,1124044084669288450,1124044084669288450,tonygonzales4tx,1,Texas,Tony Gonzales,,,,,,,,,2021-04-20
8,98471035,98471035,liz_cheney,1,Wyoming,Liz Cheney,,,,,,,,,2021-04-20
9,1278514055729360897,1278514055729360897,for_teague,1,Texas,Johnny Teague for Congress,,,,,,,,,2021-04-20
10,1223772796674871302,1223772796674871302,billforpa14,1,Pennsylvania,Bill Marx for Congress,,,,,,,,,2021-04-20
11,1163837390777212928,1163837390777212928,gadeforvirginia,1,Virginia,Daniel Gade,,,,,,,,,2021-04-20
12,292594517,292594517,scottpeterssd,1,California,Scott Peters,,,,,,,,,2021-04-20
13,1172910137738182662,1172910137738182662,jennybell2020,1,Ohio,JENNYBELL2020,,,,,,,,,2021-04-20
14,3431000296,3431000296,votefortrey,1,Indiana,Trey Hollingsworth,,,,,,,,,2021-04-20
15,1080477288955826176,1080477288955826176,repmarkgreen,1,Tennessee,Rep. Mark Green,Mark Green,G000590,1,2,7,3,False,1964-11-08,2021-04-20
16,1088909194764476416,1088909194764476416,bimal2020,1,Texas,Bimal Patel,,,,,,,,,2021-04-20
17,612875602,612875602,elaineseco,1,Texas,Elaine Hays,,,,,,,,,2021-04-20
18,549579841,549579841,jamie_raskin,1,Maryland,Jamie Raskin,,,,,,,,,2021-04-20
19,65707359,65707359,captmarkkelly,1,Arizona,Captain Mark Kelly,,,,,,,,,2021-04-20
20,1239754030429212673,1239754030429212673,noelle4tn,1,Tennessee,Noelle Bivens,,,,,,,,,2021-04-20
21,1075830599007510535,1075830599007510535,reppetestauber,1,Minnesota,Pete Stauber,Pete Stauber,S001212,1,2,8,3,False,1966-05-10,2021-04-20
22,1058917562,1058917562,repderekkilmer,1,Washington,Rep. Derek Kilmer,Derek Kilmer,K000381,1,1,6,3,False,1974-01-01,2021-04-20
23,1169379667960324103,1169379667960324103,lenzi4congress,1,Illinois,Ray Lenzi for Congress,,,,,,,,,2021-04-20
24,14572431,14572431,estherjoyking,1,Illinois,Esther Joy King,,,,,,,,,2021-04-20
25,960962340,960962340,repandyharrismd,1,Maryland,"Rep. Andy Harris, MD",Andy Harris,H001052,1,2,1,3,False,1957-01-25,2021-04-20
26,170341758,170341758,electdavidscott,1,Georgia,David Scott,,,,,,,,,2021-04-20
27,2266676155,2266676155,tommcdermottjr,1,Indiana,Thomas McDermott,,,,,,,,,2021-04-20
28,1207859686520885250,1207859686520885250,myarmstrongtx,1,Texas,Michael Armstrong,,,,,,,,,2021-04-20
29,1155335864,1155335864,repdonaldpayne,1,New Jersey,Rep. Donald Payne Jr,Donald Payne,P000604,1,1,10,3,False,1958-12-17,2021-04-20
30,806583915012046854,806583915012046854,repdrewferguson,1,Georgia,Congressman Drew Ferguson,A. Ferguson,F000465,1,2,3,3,False,1966-11-15,2021-04-20
31,563471310,563471310,troynehls,1,Texas,Troy Nehls,,,,,,,,,2021-04-20
32,935033864,935033864,reprichhudson,1,North Carolina,Richard Hudson,Richard Hudson,H001067,1,2,8,3,False,1971-11-04,2021-04-20
33,870453485984129028,870453485984129028,ajaforcongress,1,California,Aja Smith,,,,,,,,,2021-04-20
34,1189206039335276544,1189206039335276544,tandon4congress,1,California,"Ritesh Tandon US Congressional Candidate, CA 17",,,,,,,,,2021-04-20
35,898787903609765890,898787903609765890,yvette4congress,1,New Mexico,Yvette Herrell,,,,,,,,,2021-04-20
36,21406834,21406834,senmarkey,1,Massachusetts,Ed Markey,Edward Markey,M000133,1,1,99,3,False,1946-07-11,2021-04-20
37,947178108108423168,947178108108423168,ronda4congress,1,California,Ronda Kennedy,,,,,,,,,2021-04-20
38,587866687,587866687,boblancia,1,Rhode Island,Bob Lancia,,,,,,,,,2021-04-20
39,1137141960995745795,1137141960995745795,floydmclendon,1,Texas,Floyd McLendon,,,,,,,,,2021-04-20
